f_date,input_date,s_input_date,week_of_year,input_week_day,puin,cnt,f_rank,t_r_puin
20191027,20190905,2019-09-05,36,4,0,34,150,0
20191027,20190903,2019-09-03,36,2,0,38,150,0
20191027,20191025,2019-10-25,43,5,0,229,150,0
20191027,20190914,2019-09-14,37,6,0,21,150,0
20191027,20190922,2019-09-22,38,7,0,30,150,0
20191027,20191016,2019-10-16,42,3,0,256,150,0
20191027,20190919,2019-09-19,38,4,0,33,150,0
20191027,20191003,2019-10-03,40,4,0,24,150,0
20191027,20190930,2019-09-30,40,1,0,28,150,0
20191027,20190907,2019-09-07,36,6,0,33,150,0
20191027,20190916,2019-09-16,38,1,0,31,150,0
20191027,20190908,2019-09-08,36,7,0,29,150,0
20191027,20191027,2019-10-27,43,7,0,115,150,0
20191027,20191009,2019-10-09,41,3,0,200,150,0
20191027,20191022,2019-10-22,43,2,0,239,150,0
20191027,20191021,2019-10-21,43,1,0,231,150,0
20191027,20190921,2019-09-21,38,6,0,32,150,0
20191027,20191001,2019-10-01,40,2,0,25,150,0
20191027,20191013,2019-10-13,41,7,0,95,150,0
20191027,20191019,2019-10-19,42,6,0,129,150,0
20191027,20191006,2019-10-06,40,7,0,31,150,0
20191027,20190910,2019-09-10,37,2,0,32,150,0
20191027,20190923,2019-09-23,39,1,0,31,150,0
20191027,20190912,2019-09-12,37,4,0,36,150,0
20191027,20191018,2019-10-18,42,5,0,225,150,0
20191027,20191011,2019-10-11,41,5,0,186,150,0
20191027,20191012,2019-10-12,41,6,0,177,150,0
20191027,20190902,2019-09-02,36,1,0,25,150,0
20191027,20191026,2019-10-26,43,6,0,118,150,0
20191027,20191017,2019-10-17,42,4,0,227,150,0
20191027,20191004,2019-10-04,40,5,0,25,150,0
20191027,20190915,2019-09-15,37,7,0,32,150,0
20191027,20190904,2019-09-04,36,3,0,31,150,0
20191027,20190906,2019-09-06,36,5,0,32,150,0
20191027,20191002,2019-10-02,40,3,0,24,150,0
20191027,20191008,2019-10-08,41,2,0,170,150,0
20191027,20191014,2019-10-14,42,1,0,196,150,0
20191027,20191024,2019-10-24,43,4,0,230,150,0
20191027,20190924,2019-09-24,39,2,0,44,150,0
20191027,20191007,2019-10-07,41,1,0,28,150,0
20191027,20191023,2019-10-23,43,3,0,307,150,0
20191027,20190929,2019-09-29,39,7,0,31,150,0
20191027,20191005,2019-10-05,40,6,0,21,150,0
20191027,20190917,2019-09-17,38,2,0,30,150,0
