f_date,input_date,s_input_date,week_of_year,input_week_day,puin,cnt
20191022,20191011,2019-10-11,41,5,3531033244,291
20191022,20190822,2019-08-22,34,4,1542698720,511
20191022,20190826,2019-08-26,35,1,3617694639,501
20191022,20190904,2019-09-04,36,3,1781806667,1283
20191022,20190910,2019-09-10,37,2,1759863460,813
20191022,20190915,2019-09-15,37,7,1504400350,499
20191022,20191002,2019-10-02,40,3,1781808703,763
20191022,20191014,2019-10-14,42,1,1686044523,500
20191022,20191015,2019-10-15,42,2,1992602239,119
20191022,20190820,2019-08-20,34,2,1921425583,152
20191022,20190823,2019-08-23,34,5,1001000286250,356
20191022,20190905,2019-09-05,36,4,3592397569,1550
20191022,20190921,2019-09-21,38,6,1781807945,984
20191022,20190929,2019-09-29,39,7,1848146723,805
20191022,20190910,2019-09-10,37,2,1685943040,501
20191022,20190915,2019-09-15,37,7,1781810030,961
20191022,20191017,2019-10-17,42,4,3201287628,499
20191022,20191014,2019-10-14,42,1,1656351064,500
20191022,20190915,2019-09-15,37,7,1921426906,500
20191022,20190905,2019-09-05,36,4,1833528556,499
20191022,20191017,2019-10-17,42,4,1693921771,528
20191022,20191019,2019-10-19,42,6,3321779464,122
20191022,20190826,2019-08-26,35,1,1598232245,50
20191022,20191006,2019-10-06,40,7,1781808471,831
20191022,20191008,2019-10-08,41,2,1781810497,1234
20191022,20191009,2019-10-09,41,3,1701790981,436
20191022,20191011,2019-10-11,41,5,2105858172,424
20191022,20191014,2019-10-14,42,1,1759863460,897
20191022,20190903,2019-09-03,36,2,1921424720,421
20191022,20191022,2019-10-22,43,2,2976786729,1
20191022,20190927,2019-09-27,39,5,1781809819,1212
20191022,20191003,2019-10-03,40,4,1001001980328,372
20191022,20191015,2019-10-15,42,2,1781807945,1187
20191022,20190923,2019-09-23,39,1,3428867428,470
20191022,20190907,2019-09-07,36,6,1781809819,931
20191022,20190831,2019-08-31,35,6,1781808143,1001
20191022,20190910,2019-09-10,37,2,1781808703,1376
20191022,20190911,2019-09-11,37,3,1992602239,4229
20191022,20190926,2019-09-26,39,4,1781807461,1237
20191022,20190903,2019-09-03,36,2,2252326496,462
20191022,20191016,2019-10-16,42,3,1848146723,871
20191022,20191017,2019-10-17,42,4,2680486890,500
20191022,20191003,2019-10-03,40,4,1781807945,702
20191022,20190822,2019-08-22,34,4,1921424720,499
20191022,20191015,2019-10-15,42,2,2153886484,294
20191022,20191008,2019-10-08,41,2,1001000286250,323
20191022,20190817,2019-08-17,33,6,2153886484,180
20191022,20190922,2019-09-22,38,7,1542698720,201
20191022,20190929,2019-09-29,39,7,3321779464,139
20191022,20190912,2019-09-12,37,4,2164312964,299
20191022,20190913,2019-09-13,37,5,1001001962555,488
20191022,20190929,2019-09-29,39,7,1686044523,498
20191022,20190930,2019-09-30,40,1,1001001877189,500
20191022,20191013,2019-10-13,41,7,1685943040,221
20191022,20190915,2019-09-15,37,7,1615989293,499
20191022,20190908,2019-09-08,36,7,1001001962555,108
20191022,20191014,2019-10-14,42,1,1693921771,500
20191022,20190904,2019-09-04,36,3,1781809819,1295
20191022,20190909,2019-09-09,37,1,1781807016,1204
20191022,20190909,2019-09-09,37,1,1001000286087,398
20191022,20190916,2019-09-16,38,1,2252326496,240
20191022,20190919,2019-09-19,38,4,1781806667,1205
20191022,20190923,2019-09-23,39,1,3332834764,487
20191022,20191021,2019-10-21,43,1,1001000286087,1020
20191022,20191021,2019-10-21,43,1,1781810443,1187
20191022,20191022,2019-10-22,43,2,1781807441,1164
20191022,20190922,2019-09-22,38,7,1001001962555,500
20191022,20190828,2019-08-28,35,3,1598232245,50
20191022,20191006,2019-10-06,40,7,1803170283,500
20191022,20191009,2019-10-09,41,3,2478637939,1789
20191022,20191004,2019-10-04,40,5,1781806734,950
20191022,20191010,2019-10-10,41,4,1683952717,248
20191022,20191018,2019-10-18,42,5,1542698720,458
20191022,20191012,2019-10-12,41,6,1140173450,58
20191022,20190903,2019-09-03,36,2,2269829235,309
20191022,20190904,2019-09-04,36,3,1781810497,1322
20191022,20190929,2019-09-29,39,7,2713129639,230591
20191022,20190926,2019-09-26,39,4,3332834764,498
20191022,20190824,2019-08-24,34,6,1001000197449,1
20191022,20191013,2019-10-13,41,7,1001000286250,322
20191022,20190909,2019-09-09,37,1,1781809819,1322
20191022,20190916,2019-09-16,38,1,1803170283,500
20191022,20190917,2019-09-17,38,2,2478637939,1170
20191022,20190925,2019-09-25,39,3,3473823790,2105
20191022,20190916,2019-09-16,38,1,3021573833,274
20191022,20190919,2019-09-19,38,4,1001001877189,455
