s_cont_stat_date,content_type,src,union_chann_id,today_ruku_cont_cnt
2020-02-11,图文,14,112,602709
2020-02-13,图文,14,112,548789
2020-02-16,图文,14,100,115926
2020-02-19,图文,14,112,456788
2020-02-20,图文,14,109,13043
2020-02-20,图文,14,112,447514
2020-02-24,图文,14,112,426837
2020-02-29,图文,14,120,126259
2019-12-03,图文,14,120,158613
2019-12-05,图文,14,104,46820
2019-12-08,图文,14,126,77637
2019-12-10,图文,14,\N,54658
2019-12-11,图文,14,112,359753
2019-12-12,图文,14,126,83354
2019-12-13,图文,14,127,64308
2019-12-15,图文,14,118,40667
2019-12-21,图文,14,133,112752
2019-12-27,图文,14,112,365274
2019-12-27,图文,14,120,155852
2019-12-28,图文,14,101,30305
2020-01-02,图文,14,\N,96127
2020-01-04,图文,14,100,121854
2020-01-09,图文,14,116,48782
2020-01-11,图文,14,117,32136
2020-01-17,图文,14,110,22363
2020-01-21,图文,14,117,22915
2020-01-22,图文,65,110,4653
2020-01-24,图文,52,\N,64366
2020-01-25,图文,14,137,6548
2020-01-27,图文,14,126,56391
2020-02-03,图文,14,112,609413
2020-02-03,图文,14,100,83730
2020-02-09,图文,14,114,34072
2020-01-24,图文,65,112,7307
2019-12-08,图文,14,120,96594
2019-12-09,图文,14,121,133478
2019-12-11,图文,14,119,28891
2019-12-17,图文,52,\N,118162
2019-12-20,图文,14,120,163793
2019-12-22,图文,14,123,19116
2019-12-25,图文,14,121,124247
2019-12-25,图文,14,117,53230
2019-12-27,图文,14,122,36593
2019-12-30,图文,14,111,89601
2019-12-31,图文,14,126,103677
2020-01-04,图文,65,110,6048
2020-01-07,图文,14,114,53827
2020-01-07,图文,14,112,341737
2020-01-12,图文,14,121,84507
2020-01-13,图文,14,124,52387
2020-01-15,图文,14,126,85487
2020-01-20,图文,14,112,358879
2020-02-02,图文,14,112,563792
2020-02-05,图文,14,112,613695
2019-12-05,图文,14,106,29903
2019-12-08,图文,14,112,251204
2019-12-16,图文,14,112,349035
2019-12-19,图文,14,133,115930
2020-01-11,图文,14,141,23914
2020-01-13,图文,14,\N,139886
2020-01-18,图文,14,118,36346
2020-01-19,图文,14,104,38559
2020-01-22,图文,14,100,79962
2020-02-06,图文,52,\N,116171
2020-02-06,图文,14,112,619503
2020-02-28,图文,52,110,4831
2020-03-01,图文,52,116,988
2019-12-16,图文,52,103,1597
2020-01-26,图文,67,121,5538
2020-02-13,图文,14,115,15051
2020-02-18,图文,52,\N,121788
2020-02-21,图文,14,127,18055
2020-02-24,图文,52,\N,123247
2020-02-27,图文,14,132,68669
2020-02-29,图文,14,133,109358
2020-02-29,图文,14,\N,286139
2020-02-11,图文,14,118,26936
2020-02-14,图文,14,141,10651
2020-02-15,图文,14,117,25962
2020-02-16,图文,14,118,27599
2020-02-21,图文,65,124,3653
2020-02-26,图文,14,104,39904
2019-12-03,图文,14,104,46900
2019-12-03,图文,14,131,5405
2019-12-09,图文,14,133,118002
2019-12-13,图文,63,110,385
2019-12-13,图文,14,128,19929
2019-12-17,图文,14,133,118629
2019-12-19,图文,14,130,23368
2019-12-20,图文,22,130,385
2019-12-21,图文,14,112,279263
2019-12-28,图文,14,104,37042
2019-12-29,图文,14,126,75308
2019-12-29,图文,14,120,92901
2020-01-04,图文,14,115,12851
2020-01-06,图文,14,\N,152928
2020-01-14,图文,14,113,15921
2020-01-16,图文,14,120,118921
2020-01-25,图文,14,116,20875
2020-01-25,图文,14,123,5459
2020-01-27,图文,14,117,16300
2020-02-03,图文,14,\N,145745
2020-02-07,图文,14,121,139233
2020-02-09,图文,14,112,566095
2020-02-10,图文,52,\N,121262
2020-02-13,图文,22,112,9833
2020-02-16,图文,14,123,17037
2020-02-18,图文,14,111,72715
2020-02-23,图文,22,112,6488
2020-02-25,图文,14,123,20786
2020-02-28,图文,14,137,13092
2020-02-28,图文,14,118,34773
2020-02-17,图文,14,112,483933
2020-02-18,图文,14,106,24301
2020-02-19,图文,65,102,660
2019-12-19,图文,14,120,158676
2019-12-25,图文,14,112,364561
2020-01-01,图文,14,133,163248
2020-01-02,图文,14,123,20695
2020-01-06,图文,14,112,331656
2020-01-07,图文,14,106,24536
2020-01-09,图文,14,112,346243
2020-01-12,图文,14,134,40021
2020-01-15,图文,14,118,40111
2020-01-17,图文,14,100,81907
2020-01-19,图文,14,116,38931
2020-01-23,图文,14,100,75469
2020-01-25,图文,14,109,8609
2020-01-27,图文,14,134,48907
2020-01-27,图文,14,121,103456
2020-01-31,图文,14,121,112272
2020-02-01,图文,14,122,8503
2020-02-03,图文,14,133,98340
2020-02-05,图文,14,104,35027
2019-12-11,图文,67,110,270
2019-12-11,图文,14,\N,55036
2019-12-13,图文,14,116,60078
2019-12-19,图文,14,121,133719
2019-12-22,图文,14,118,55530
2020-01-07,图文,14,101,28620
2020-01-14,图文,14,112,350952
2020-01-17,图文,14,\N,147767
2020-01-22,图文,14,114,28624
2020-02-01,图文,14,141,25768
2020-02-01,图文,14,120,92474
2020-02-08,图文,14,112,597918
2020-02-17,图文,65,112,14075
2020-01-06,短内容,66,102,59
2020-02-11,图文,14,100,86416
2020-02-14,图文,14,120,133165
2020-02-14,图文,14,100,118540
2020-02-15,图文,14,132,66328
2020-02-22,图文,14,122,15242
2020-02-22,图文,14,111,57757
2020-02-27,图文,14,126,86274
2020-03-01,图文,14,\N,274630
2019-12-12,图文,14,127,25302
2019-12-12,图文,14,108,12399
2019-12-12,图文,14,112,317780
2019-12-16,图文,14,135,3712
2019-12-30,图文,14,133,120568
2019-12-31,图文,14,117,51895
2020-01-07,图文,14,\N,143993
2020-01-08,图文,14,127,29104
2020-01-08,图文,14,126,85098
2020-01-10,图文,14,116,49213
2020-01-12,图文,52,\N,72149
2020-01-17,图文,14,112,377119
2020-01-20,图文,14,100,83532
2020-01-24,图文,65,104,2285
2020-01-25,图文,14,112,336057
2020-02-06,图文,14,132,55861
2020-02-08,图文,14,124,23028
2019-12-04,图集,49,124,149
