f_date,cnt_stat_date,s_cnt_stat_date,cnt_stat_week_of_year,cnt_stat_week_day,union_chann_id,cnt
20191030,20191012,2019-10-12,41,6,127,32110
20191030,20191017,2019-10-17,42,4,130,25040
20191030,20190910,2019-09-10,37,2,102,20617
20191030,20191029,2019-10-29,44,2,132,85294
20191030,20190916,2019-09-16,38,1,102,20809
20191030,20191003,2019-10-03,40,4,108,32699
20191030,20190918,2019-09-18,38,3,108,35583
20191030,20191027,2019-10-27,43,7,127,24594
20191030,20190914,2019-09-14,37,6,127,26933
20191030,20191024,2019-10-24,43,4,121,143686
20191030,20190915,2019-09-15,37,7,130,18642
20191030,20191018,2019-10-18,42,5,127,31636
20191030,20190908,2019-09-08,36,7,108,34025
20191030,20191025,2019-10-25,43,5,132,87278
20191030,20191014,2019-10-14,42,1,121,137119
20191030,20190923,2019-09-23,39,1,101,49432
20191030,20191003,2019-10-03,40,4,107,11298
20191030,20191027,2019-10-27,43,7,121,110196
20191030,20191021,2019-10-21,43,1,130,25135
20191030,20190914,2019-09-14,37,6,101,46022
20191030,20190912,2019-09-12,37,4,121,131815
20191030,20190906,2019-09-06,36,5,102,22067
20191030,20191009,2019-10-09,41,3,107,10803
20191030,20191004,2019-10-04,40,5,127,32050
20191030,20191009,2019-10-09,41,3,102,20663
20191030,20191007,2019-10-07,41,1,121,122290
20191030,20191018,2019-10-18,42,5,121,137060
20191030,20191022,2019-10-22,43,2,127,31689
20191030,20190912,2019-09-12,37,4,101,49467
20191030,20191011,2019-10-11,41,5,130,24273
20191030,20191011,2019-10-11,41,5,118,50004
20191030,20190921,2019-09-21,38,6,102,16519
20191030,20191018,2019-10-18,42,5,107,11212
20191030,20191031,2019-10-31,44,4,108,73
20191030,20191002,2019-10-02,40,3,127,33201
20191030,20191004,2019-10-04,40,5,118,36997
20191030,20190918,2019-09-18,38,3,101,48524
20191030,20191016,2019-10-16,42,3,130,26137
20191030,20190926,2019-09-26,39,4,121,140489
20191030,20190923,2019-09-23,39,1,132,99758
20191030,20191014,2019-10-14,42,1,101,47728
20191030,20191028,2019-10-28,44,1,127,29502
20191030,20191014,2019-10-14,42,1,130,24985
20191030,20191010,2019-10-10,41,4,118,49988
20191030,20191029,2019-10-29,44,2,108,19062
20191030,20191030,2019-10-30,44,3,125,24639
20191030,20191011,2019-10-11,41,5,132,98820
20191030,20191031,2019-10-31,44,4,132,35
20191030,20191009,2019-10-09,41,3,125,31840
20191030,20190908,2019-09-08,36,7,125,18969
20191030,20190929,2019-09-29,39,7,127,36893
20191030,20190920,2019-09-20,38,5,132,73916
20191030,20190923,2019-09-23,39,1,118,51226
20191030,20191019,2019-10-19,42,6,108,35198
20191030,20191010,2019-10-10,41,4,101,49835
20191030,20191009,2019-10-09,41,3,130,24474
20191030,20190928,2019-09-28,39,6,108,41400
20191030,20190905,2019-09-05,36,4,102,21429
20191030,20190908,2019-09-08,36,7,127,32525
20191030,20191011,2019-10-11,41,5,127,32189
20191030,20190912,2019-09-12,37,4,125,30973
20191030,20191007,2019-10-07,41,1,101,47596
20191030,20190920,2019-09-20,38,5,107,6532
20191030,20191029,2019-10-29,44,2,118,48057
20191030,20191023,2019-10-23,43,3,121,137997
20191030,20191006,2019-10-06,40,7,127,31687
20191030,20191004,2019-10-04,40,5,101,48986
20191030,20191003,2019-10-03,40,4,125,16666
20191030,20190926,2019-09-26,39,4,130,29398
20191030,20190928,2019-09-28,39,6,130,21422
20191030,20190911,2019-09-11,37,3,132,102297
20191030,20191024,2019-10-24,43,4,130,24061
20191030,20191018,2019-10-18,42,5,132,96223
20191030,20191001,2019-10-01,40,2,125,16845
20191030,20191028,2019-10-28,44,1,121,130188
20191030,20191016,2019-10-16,42,3,125,27837
20191030,20190914,2019-09-14,37,6,108,33367
20191030,20190916,2019-09-16,38,1,108,35351
20191030,20191003,2019-10-03,40,4,101,49519
20191030,20191020,2019-10-20,42,7,130,17790
20191030,20191013,2019-10-13,41,7,108,33619
20191030,20191022,2019-10-22,43,2,107,11163
20191030,20191025,2019-10-25,43,5,127,30728
20191030,20190915,2019-09-15,37,7,125,19688
20191030,20190923,2019-09-23,39,1,121,146510
20191030,20190918,2019-09-18,38,3,125,30618
20191030,20190910,2019-09-10,37,2,132,104092
20191030,20191015,2019-10-15,42,2,108,36960
20191030,20190906,2019-09-06,36,5,125,31754
20191030,20190907,2019-09-07,36,6,125,22212
20191030,20191026,2019-10-26,43,6,107,10849
20191030,20191006,2019-10-06,40,7,102,16540
20191030,20190926,2019-09-26,39,4,118,49210
20191030,20191016,2019-10-16,42,3,121,138198
20191030,20191018,2019-10-18,42,5,125,28666
20191030,20191016,2019-10-16,42,3,127,31894
20191030,20190920,2019-09-20,38,5,121,101672
20191030,20190913,2019-09-13,37,5,132,90863
20191030,20190929,2019-09-29,39,7,102,19794
20191030,20191016,2019-10-16,42,3,101,49647
20191030,20191027,2019-10-27,43,7,101,33664
20191030,20191007,2019-10-07,41,1,127,33096
20191030,20191031,2019-10-31,44,4,127,36
20191030,20190928,2019-09-28,39,6,102,20591
20191030,20190927,2019-09-27,39,5,118,50368
20191030,20190913,2019-09-13,37,5,130,16436
20191030,20190923,2019-09-23,39,1,107,11381
20191030,20190920,2019-09-20,38,5,118,36311
20191030,20190916,2019-09-16,38,1,107,11085
20191030,20190929,2019-09-29,39,7,125,27642
20191030,20190925,2019-09-25,39,3,101,53492
20191030,20190924,2019-09-24,39,2,132,99498
20191030,20191014,2019-10-14,42,1,127,31295
20191030,20191009,2019-10-09,41,3,121,142185
20191030,20191020,2019-10-20,42,7,127,24529
20191030,20191003,2019-10-03,40,4,130,15102
20191030,20191026,2019-10-26,43,6,125,18719
20191030,20191012,2019-10-12,41,6,102,20033
20191030,20190927,2019-09-27,39,5,107,11590
20191030,20190917,2019-09-17,38,2,127,36708
20191030,20191027,2019-10-27,43,7,102,12260
20191030,20191023,2019-10-23,43,3,132,84570
20191030,20191030,2019-10-30,44,3,108,18179
20191030,20191020,2019-10-20,42,7,121,108704
20191030,20190929,2019-09-29,39,7,108,38621
20191030,20191030,2019-10-30,44,3,121,121295
20191030,20190924,2019-09-24,39,2,102,19139
20191030,20190905,2019-09-05,36,4,121,137818
20191030,20190927,2019-09-27,39,5,108,42954
20191030,20191002,2019-10-02,40,3,121,94148
20191030,20191005,2019-10-05,40,6,108,32016
20191030,20191019,2019-10-19,42,6,121,118359
20191030,20191018,2019-10-18,42,5,102,22228
20191030,20191025,2019-10-25,43,5,102,16548
20191030,20191024,2019-10-24,43,4,118,48062
20191030,20191016,2019-10-16,42,3,118,47609
20191030,20190913,2019-09-13,37,5,125,17966
20191030,20190917,2019-09-17,38,2,132,103821
20191030,20191009,2019-10-09,41,3,108,36452
20191030,20191008,2019-10-08,41,2,125,31973
20191030,20190929,2019-09-29,39,7,107,11304
20191030,20190921,2019-09-21,38,6,121,99793
20191030,20190925,2019-09-25,39,3,118,51832
20191030,20191014,2019-10-14,42,1,125,26452
20191030,20191015,2019-10-15,42,2,130,25100
20191030,20190924,2019-09-24,39,2,127,36295
20191030,20191029,2019-10-29,44,2,125,26247
20191030,20191006,2019-10-06,40,7,101,46407
20191030,20191020,2019-10-20,42,7,132,82811
20191030,20191023,2019-10-23,43,3,127,30409
20191030,20190908,2019-09-08,36,7,101,45645
20191030,20191017,2019-10-17,42,4,127,32198
20191030,20191002,2019-10-02,40,3,102,18369
20191030,20190924,2019-09-24,39,2,121,140029
20191030,20190914,2019-09-14,37,6,125,17691
20191030,20191002,2019-10-02,40,3,107,10314
20191030,20191027,2019-10-27,43,7,118,41609
20191030,20190914,2019-09-14,37,6,102,16243
20191030,20191024,2019-10-24,43,4,102,17155
20191030,20190907,2019-09-07,36,6,108,36343
20191030,20190922,2019-09-22,38,7,130,32326
20191030,20190906,2019-09-06,36,5,130,28268
20191030,20191004,2019-10-04,40,5,130,15359
20191030,20190906,2019-09-06,36,5,121,139296
20191030,20190910,2019-09-10,37,2,121,134611
20191030,20191027,2019-10-27,43,7,108,14140
20191030,20191007,2019-10-07,41,1,130,18080
20191030,20191013,2019-10-13,41,7,127,26003
