union_chann_id,cnt_stat_week_day,cnt
100,1,10622.5
100,2,10644.0
100,3,11562.125
100,4,11603.25
100,5,9781.625
100,6,8319.375
100,7,10354.75
101,1,1188.625
101,2,1282.125
101,3,1215.125
101,4,1136.0
101,5,1144.625
101,6,1144.0
101,7,1167.125
102,1,1100.0
102,2,1146.0
102,3,1220.0
102,4,1168.0
102,5,1125.875
102,6,1102.125
102,7,1046.75
103,1,555.25
103,2,559.25
103,3,573.875
103,4,568.125
103,5,558.375
103,6,575.625
103,7,568.75
104,1,5310.125
104,2,5938.75
104,3,5954.0
104,4,5830.625
104,5,6422.5
104,6,6162.25
104,7,6633.875
105,1,103.375
105,2,119.75
105,3,129.375
105,4,122.875
105,5,136.375
105,6,115.875
105,7,109.75
106,1,275.625
106,2,341.375
106,3,282.625
106,4,241.25
106,5,240.375
106,6,217.875
106,7,236.125
107,1,27.0
107,2,32.125
107,3,27.75
107,4,25.875
107,5,33.0
107,6,28.875
107,7,31.25
108,1,2565.875
108,2,2588.375
108,3,2636.375
108,4,2437.75
108,5,2454.0
108,6,2760.5
108,7,2519.125
109,1,2682.25
109,2,2258.875
109,3,2732.625
109,4,2776.375
109,5,2486.875
109,6,2704.875
109,7,2508.875
110,1,4905.0
110,2,4786.75
110,3,4867.75
110,4,4867.375
110,5,4688.25
110,6,4840.625
110,7,5037.375
111,1,969.375
111,2,1138.875
111,3,1175.5
111,4,1099.5
111,5,1128.25
111,6,774.375
111,7,645.375
112,1,5102.125
112,2,5593.625
112,3,5486.375
112,4,5265.5
112,5,5432.625
112,6,4388.875
112,7,4038.75
113,1,566.875
113,2,689.625
113,3,643.75
113,4,612.25
113,5,643.125
113,6,572.125
113,7,518.375
114,1,3508.75
114,2,4055.875
114,3,4121.5
114,4,3738.0
114,5,3758.5
114,6,2858.625
114,7,2573.75
115,1,585.625
115,2,594.75
115,3,628.25
115,4,611.5
115,5,625.125
115,6,542.125
115,7,521.375
116,1,2772.25
116,2,3112.625
116,3,3003.0
116,4,3013.875
116,5,2890.875
116,6,2782.375
116,7,2596.0
117,1,3802.5
117,2,4458.0
117,3,4586.25
117,4,4439.125
117,5,4309.125
117,6,3468.25
117,7,3579.875
118,1,2389.125
118,2,2591.375
118,3,2498.375
118,4,2586.125
118,5,2514.0
118,6,2518.375
118,7,2379.75
119,1,1487.75
119,2,1580.125
119,3,1560.5
119,4,1574.625
119,5,1634.625
119,6,1442.875
119,7,1228.375
120,1,1221.375
120,2,1495.5
120,3,1321.75
120,4,1237.25
120,5,1254.0
120,6,1127.375
120,7,1036.375
121,1,2904.25
121,2,2951.375
121,3,3001.625
121,4,3023.625
121,5,2959.0
121,6,2473.5
121,7,2126.375
122,1,1852.5
122,2,2004.5
122,3,1932.125
122,4,1930.875
122,5,1943.125
122,6,1887.5
122,7,1826.0
123,1,2429.75
123,2,2632.5
123,3,2789.75
123,4,2516.875
123,5,2444.375
123,6,2000.0
123,7,1881.375
124,1,2136.75
124,2,2585.375
124,3,2474.75
124,4,2359.875
124,5,2318.0
124,6,1282.75
124,7,1043.375
125,1,449.25
125,2,576.625
125,3,562.0
125,4,523.5
125,5,506.875
125,6,416.25
125,7,364.625
126,1,2362.875
126,2,2282.0
126,3,2219.625
126,4,2344.125
126,5,2419.125
126,6,2092.0
126,7,2039.875
127,1,1121.0
127,2,1158.875
127,3,1220.75
127,4,1161.5
127,5,1203.625
127,6,1233.625
127,7,1114.25
128,1,362.125
128,2,367.75
128,3,354.0
128,4,327.5
128,5,364.5
128,6,305.75
128,7,287.375
129,1,212.5
129,2,226.375
129,3,241.5
129,4,247.25
129,5,230.625
129,6,233.375
129,7,243.25
130,1,574.5
130,2,602.875
130,3,592.0
130,4,544.375
130,5,563.375
130,6,511.625
130,7,452.25
131,1,607.375
131,2,610.0
131,3,602.375
131,4,616.0
131,5,613.75
131,6,643.25
131,7,633.625
132,1,1219.375
132,2,1319.0
132,3,1318.375
132,4,1369.75
132,5,1595.875
132,6,1513.375
132,7,1294.375
133,1,1902.25
133,2,1894.125
133,3,1900.875
133,4,1949.625
133,5,2126.75
133,6,1989.625
133,7,1965.25
134,1,1147.625
134,2,1117.625
134,3,1187.25
134,4,1098.0
134,5,1223.375
134,6,1252.375
134,7,1113.625
135,1,247.75
135,2,281.375
135,3,283.5
135,4,283.375
135,5,282.625
135,6,247.0
135,7,244.375
136,1,23.5
136,2,24.25
136,3,25.0
136,4,26.75
136,5,23.625
136,6,21.25
136,7,22.625
137,1,232.625
137,2,242.0
137,3,243.75
137,4,231.75
137,5,247.5
137,6,231.375
137,7,230.625
138,1,467.25
138,2,444.5
138,3,374.125
138,4,367.75
138,5,365.875
138,6,351.5
138,7,376.25
139,1,51.25
139,2,48.875
139,3,44.75
139,4,55.375
139,5,63.625
139,6,34.0
139,7,40.857142857142854
140,1,1175.0
140,2,982.75
140,3,1067.625
140,4,1032.625
140,5,1280.875
140,6,1474.25
140,7,1313.75
141,1,3102.125
141,2,2955.875
141,3,3213.25
141,4,2740.5
141,5,4513.375
141,6,3391.625
141,7,3426.375
