cnt_stat_week_of_year,cnt_stat_week_day,today_input_cnt
37,1,432.0
37,2,432.0
37,3,432.0
37,4,526.0
37,5,305.0
37,6,283.0
37,7,613.0
38,1,612.0
38,2,726.0
38,3,768.0
38,4,841.0
38,5,639.0
38,6,558.0
38,7,343.0
39,1,871.0
39,2,810.0
39,3,1285.0
39,4,1501.0
39,5,1097.0
39,6,1160.0
39,7,1188.0
40,1,1674.0
40,2,455.0
40,3,965.0
40,4,913.0
40,5,762.0
40,6,831.0
40,7,1094.0
41,1,1056.0
41,2,1713.0
41,3,1540.0
41,4,1694.0
41,5,1883.0
41,6,1852.0
41,7,1148.0
42,1,2050.0
42,2,721.0
42,3,1655.0
42,4,2560.0
42,5,1831.0
42,6,1340.0
42,7,1164.0
43,1,1854.0
43,2,623.0
43,3,999.0
43,4,697.0
43,5,971.0
43,6,1379.0
43,7,841.0
44,1,1175.0
44,2,955.0
44,3,1044.0
44,4,1045.0
44,5,1229.0
44,6,2311.0
44,7,2045.0
