, cnt,  zScore, exScore
0,3098,1.857425,0.434164
1,2814,1.21979,0.185696
2,2949,1.522891,0.303806
3,2660,0.87403,0.050962
4,2749,1.073852,0.128828
6,2853,1.307352,0.219816
10,2724,1.017722,0.106955
17,2670,0.896482,0.059711
18,2636,0.820145,0.029965
19,2981,1.594737,0.331802
20,2607,0.755034,0.004593
21,2817,1.226525,0.18832
22,2859,1.320824,0.225066
30,3306,2.324426,0.616142
32,2606,0.752789,0.003718
34,2707,0.979554,0.092082
38,2949,1.522891,0.303806
39,2707,0.979554,0.092082
43,2933,1.486968,0.289808
44,2917,1.451045,0.275809
45,3070,1.79456,0.409668
48,3053,1.756391,0.394794
49,2741,1.055891,0.121829
53,1732,1.209512,0.18154
54,1659,1.373411,0.245407
55,1756,1.155627,0.160542
56,1786,1.088271,0.134296
57,1854,0.935598,0.074803
58,1768,1.128685,0.150044
61,1924,0.778434,0.013561
64,1756,1.155627,0.160542
65,1285,2.213114,0.572616
66,1588,1.53282,0.307524
67,1398,1.959407,0.473753
68,1468,1.802243,0.412511
69,1924,0.778434,0.013561
70,1847,0.951314,0.080927
71,1751,1.166853,0.164917
72,1793,1.072555,0.128171
74,1825,1.000709,0.100175
75,1847,0.951314,0.080927
78,1921,0.78517,0.016185
79,1628,1.443012,0.272528
80,1639,1.418315,0.262905
84,1925,0.776189,0.012686
89,1152,2.511725,0.688976
