,input_date,weekofyear,input_week_day,puin,cnt
186,20190816,33,5,2713129639,324529
954,20190817,33,6,2713129639,279504
2637,20190818,33,7,2713129639,266271
1384,20190819,34,1,2713129639,292502
598,20190820,34,2,2713129639,283626
3244,20190821,34,3,2713129639,270311
1097,20190822,34,4,2713129639,267305
239,20190823,34,5,2713129639,283570
3656,20190824,34,6,2713129639,257774
4027,20190825,34,7,2713129639,247481
452,20190826,35,1,2713129639,263967
2149,20190827,35,2,2713129639,252063
198,20190828,35,3,2713129639,277541
816,20190829,35,4,2713129639,270868
2755,20190830,35,5,2713129639,273710
994,20190831,35,6,2713129639,257748
2022,20190901,35,7,2713129639,226027
2838,20190902,36,1,2713129639,242941
3932,20190903,36,2,2713129639,242862
2729,20190904,36,3,2713129639,235028
2934,20190905,36,4,2713129639,242804
1321,20190906,36,5,2713129639,239287
3596,20190907,36,6,2713129639,231101
1201,20190908,36,7,2713129639,240925
1452,20190909,37,1,2713129639,243589
1334,20190910,37,2,2713129639,239435
4006,20190911,37,3,2713129639,218965
3135,20190912,37,4,2713129639,237193
3004,20190913,37,5,2713129639,242764
1427,20190914,37,6,2713129639,215906
3184,20190915,37,7,2713129639,200420
1731,20190916,38,1,2713129639,220176
294,20190917,38,2,2713129639,219518
3090,20190918,38,3,2713129639,226675
384,20190919,38,4,2713129639,219208
2419,20190920,38,5,2713129639,223574
378,20190921,38,6,2713129639,229610
2917,20190922,38,7,2713129639,251550
484,20190923,39,1,2713129639,223831
695,20190924,39,2,2713129639,217325
562,20190925,39,3,2713129639,256427
1575,20190926,39,4,2713129639,242363
3615,20190927,39,5,2713129639,248055
190,20190928,39,6,2713129639,247779
3941,20190929,39,7,2713129639,230591
151,20190930,40,1,2713129639,231902
4023,20191001,40,2,2713129639,214914
347,20191002,40,3,2713129639,217512
2758,20191003,40,4,2713129639,220301
1190,20191004,40,5,2713129639,211676
1306,20191005,40,6,2713129639,207064
3846,20191006,40,7,2713129639,189804
998,20191007,41,1,2713129639,193380
3600,20191008,41,2,2713129639,208692
2749,20191009,41,3,2713129639,220222
1340,20191010,41,4,2713129639,219584
3326,20191011,41,5,2713129639,213806
758,20191012,41,6,2713129639,211886
3852,20191013,41,7,2713129639,213965
904,20191014,42,1,2713129639,209746
1607,20191015,42,2,2713129639,223277
1720,20191016,42,3,2713129639,229336
3114,20191017,42,4,2713129639,235770
1542,20191018,42,5,2713129639,237410
121,20191019,42,6,2713129639,4
