input_date,weekofyear,input_week_day,puin,cnt
2019-09-16,38,1,1781808471,1195
2019-10-10,41,4,2931323584,330
2019-10-06,40,7,1781807461,825
2019-10-07,41,1,3021573833,848
2019-08-19,34,1,1781810497,1504
2019-08-20,34,2,3357604587,538
2019-09-11,37,3,1781807441,1422
2019-09-06,36,5,2269829235,175
2019-10-13,41,7,1685161793,45
2019-09-09,37,1,1781807945,1241
2019-09-14,37,6,1781807216,852
2019-09-25,39,3,1781807461,1367
2019-09-20,38,5,3428867428,373
2019-10-02,40,3,1781809788,730
2019-08-23,34,5,1761714657,758
2019-09-15,37,7,1781809788,903
2019-09-16,38,1,3428867428,347
2019-09-26,39,4,2158351255,624
2019-09-22,38,7,3321779464,355
2019-09-02,36,1,1759863460,672
2019-09-10,37,2,1685161287,264
2019-09-05,36,4,1685161147,303
2019-10-06,40,7,1781807216,832
2019-10-05,40,6,1781808471,735
2019-08-21,34,3,1761715377,684
2019-09-16,38,1,3107361624,558
2019-09-17,38,2,1001000286087,279
2019-08-24,34,6,3321779464,313
2019-09-12,37,4,1001000286087,269
2019-09-14,37,6,1761714552,359
2019-08-22,34,4,2976786729,602
2019-10-06,40,7,1781807441,851
2019-08-18,33,7,1781810443,1085
2019-08-28,35,3,1781808703,1406
2019-09-05,36,4,1001000037396,710
2019-09-19,38,4,1781808143,1255
2019-09-05,36,4,1761713544,366
2019-08-24,34,6,1685161793,23
2019-10-07,41,1,1685161793,128
2019-10-17,42,4,1781809449,1239
2019-08-23,34,5,3533876209,374
2019-09-10,37,2,3531033244,571
2019-09-13,37,5,1781807016,975
2019-09-14,37,6,2478637939,1384
2019-09-28,39,6,1781807945,936
2019-09-28,39,6,2680486890,499
2019-10-09,41,3,2931323584,403
2019-10-14,42,1,2164312964,530
2019-08-17,33,6,1992602239,4255
2019-08-26,35,1,1781809449,1251
2019-08-26,35,1,3592397569,667
2019-08-27,35,2,3321779464,368
2019-09-10,37,2,3428867428,237
2019-08-19,34,1,2478637939,883
2019-08-31,35,6,1781810030,1070
2019-09-26,39,4,1781808719,1369
2019-08-18,33,7,1781808143,1171
2019-09-09,37,1,1761714946,400
2019-08-28,35,3,1001000286087,273
2019-10-15,42,2,3531033244,485
2019-08-18,33,7,1685161819,528
2019-09-11,37,3,3507123484,477
2019-09-15,37,7,2269829235,564
2019-09-09,37,1,1781808832,1205
2019-09-13,37,5,1685161147,277
2019-10-07,41,1,1685161819,110
2019-10-17,42,4,1685160637,112
2019-08-23,34,5,1761714245,642
2019-09-26,39,4,1781809819,1222
2019-09-30,40,1,1759863460,741
2019-10-11,41,5,1781806734,1077
2019-09-18,38,3,3592397569,575
2019-10-02,40,3,1781808703,763
2019-09-09,37,1,1685161819,230
2019-09-25,39,3,1781808143,1333
2019-09-28,39,6,1781808703,968
2019-09-01,35,7,1685160637,257
2019-10-06,40,7,1781808832,804
2019-08-22,34,4,1761714609,634
2019-09-01,35,7,1781808471,1059
2019-09-27,39,5,1781810030,1224
2019-08-22,34,4,1685159830,140
2019-10-16,42,3,3428867428,539
2019-08-17,33,6,1781806251,1085
2019-08-19,34,1,1781809819,1413
2019-09-13,37,5,1781808719,988
2019-09-09,37,1,1761713149,398
2019-10-10,41,4,1685161819,150
2019-08-20,34,2,1001000208270,2
2019-08-17,33,6,1761713488,639
2019-09-09,37,1,2269829235,403
2019-09-23,39,1,3533876209,139
2019-10-06,40,7,3321779464,138
2019-09-06,36,5,1781808719,1548
2019-09-06,36,5,1761714609,339
2019-09-26,39,4,1781807441,1244
2019-09-26,39,4,2478637939,1477
2019-08-23,34,5,1001000037396,907
2019-08-23,34,5,1001000286087,2410
2019-09-09,37,1,1781808471,1252
2019-08-23,34,5,1761714609,731
2019-09-28,39,6,1685161793,209
2019-09-22,38,7,1781810497,947
2019-08-20,34,2,1685161374,482
2019-09-14,37,6,3321779464,200
2019-09-24,39,2,3516139149,442
2019-08-20,34,2,2158351255,627
2019-08-27,35,2,1781808832,1235
2019-09-05,36,4,1781806909,1276
2019-09-25,39,3,1685161748,305
2019-09-05,36,4,1761715749,396
2019-10-05,40,6,3533876209,14
2019-08-21,34,3,1761713014,684
2019-09-21,38,6,1781808719,1038
2019-10-12,41,6,1781808832,912
2019-09-18,38,3,1781808832,1392
2019-09-30,40,1,3321779464,111
2019-09-30,40,1,3531033244,504
2019-10-15,42,2,1685161793,72
2019-09-13,37,5,1685161287,224
2019-09-02,36,1,1685161793,278
2019-10-19,42,6,2713129639,4
2019-08-23,34,5,1992602239,2902
2019-08-28,35,3,1781807945,1338
2019-09-12,37,4,1761715749,420
2019-10-04,40,5,1781809788,914
2019-10-17,42,4,1759863460,858
