input_date,cnt
20190816,1362
20190817,1116
20190818,1087
20190819,1445
20190820,1691
20190821,1306
20190822,1313
20190823,1400
20190824,791
20190825,799
20190826,1245
20190827,1221
20190828,1315
20190829,1600
20190830,1489
20190831,1064
20190901,1103
20190902,1290
20190903,1274
20190904,1382
20190905,1320
20190906,1568
20190907,1047
20190908,1160
20190909,1259
20190910,1350
20190911,1421
20190912,1212
20190913,1028
20190914,868
20190915,902
20190916,1218
20190917,1375
20190918,1281
20190919,1290
20190920,1217
20190921,1042
20190922,941
20190923,1224
20190924,1312
20190925,1335
20190926,1253
20190927,1156
20190928,980
20190929,1119
20190930,1009
20191001,1404
20191002,676
20191003,817
20191004,950
20191005,768
20191006,866
20191007,820
20191008,1218
20191009,1264
