input_date,weekofyear,input_week_day,puin,cnt
20190916,38,1,1781808471,1195
20191010,41,4,2931323584,330
20191006,40,7,1781807461,825
20191007,41,1,3021573833,848
20190819,34,1,1781810497,1504
20190820,34,2,3357604587,538
20190911,37,3,1781807441,1422
20190906,36,5,2269829235,175
20191013,41,7,1685161793,45
20190909,37,1,1781807945,1241
20190914,37,6,1781807216,852
20190925,39,3,1781807461,1367
20190920,38,5,3428867428,373
20191002,40,3,1781809788,730
20190823,34,5,1761714657,758
20190915,37,7,1781809788,903
20190916,38,1,3428867428,347
20190926,39,4,2158351255,624
20190922,38,7,3321779464,355
20190902,36,1,1759863460,672
20190910,37,2,1685161287,264
20190905,36,4,1685161147,303
20191006,40,7,1781807216,832
20191005,40,6,1781808471,735
20190821,34,3,1761715377,684
20190916,38,1,3107361624,558
20190917,38,2,1001000286087,279
20190824,34,6,3321779464,313
20190912,37,4,1001000286087,269
20190914,37,6,1761714552,359
20190822,34,4,2976786729,602
20191006,40,7,1781807441,851
20190818,33,7,1781810443,1085
20190828,35,3,1781808703,1406
20190905,36,4,1001000037396,710
20190919,38,4,1781808143,1255
20190905,36,4,1761713544,366
20190824,34,6,1685161793,23
20191007,41,1,1685161793,128
20191017,42,4,1781809449,1239
20190823,34,5,3533876209,374
20190910,37,2,3531033244,571
20190913,37,5,1781807016,975
20190914,37,6,2478637939,1384
20190928,39,6,1781807945,936
20190928,39,6,2680486890,499
20191009,41,3,2931323584,403
20191014,42,1,2164312964,530
20190817,33,6,1992602239,4255
20190826,35,1,1781809449,1251
20190826,35,1,3592397569,667
20190827,35,2,3321779464,368
20190910,37,2,3428867428,237
20190819,34,1,2478637939,883
20190831,35,6,1781810030,1070
20190926,39,4,1781808719,1369
20190818,33,7,1781808143,1171
20190909,37,1,1761714946,400
20190828,35,3,1001000286087,273
20191015,42,2,3531033244,485
20190818,33,7,1685161819,528
20190911,37,3,3507123484,477
20190915,37,7,2269829235,564
20190909,37,1,1781808832,1205
20190913,37,5,1685161147,277
20191007,41,1,1685161819,110
20191017,42,4,1685160637,112
20190823,34,5,1761714245,642
20190926,39,4,1781809819,1222
20190930,40,1,1759863460,741
20191011,41,5,1781806734,1077
20190918,38,3,3592397569,575
20191002,40,3,1781808703,763
20190909,37,1,1685161819,230
20190925,39,3,1781808143,1333
20190928,39,6,1781808703,968
20190901,35,7,1685160637,257
20191006,40,7,1781808832,804
20190822,34,4,1761714609,634
20190901,35,7,1781808471,1059
20190927,39,5,1781810030,1224
20190822,34,4,1685159830,140
20191016,42,3,3428867428,539
20190817,33,6,1781806251,1085
20190819,34,1,1781809819,1413
20190913,37,5,1781808719,988
20190909,37,1,1761713149,398
20191010,41,4,1685161819,150
20190820,34,2,1001000208270,2
20190817,33,6,1761713488,639
20190909,37,1,2269829235,403
20190923,39,1,3533876209,139
20191006,40,7,3321779464,138
20190906,36,5,1781808719,1548
20190906,36,5,1761714609,339
20190926,39,4,1781807441,1244
20190926,39,4,2478637939,1477
20190823,34,5,1001000037396,907
20190823,34,5,1001000286087,2410
20190909,37,1,1781808471,1252
20190823,34,5,1761714609,731
20190928,39,6,1685161793,209
20190922,38,7,1781810497,947
20190820,34,2,1685161374,482
20190914,37,6,3321779464,200
20190924,39,2,3516139149,442
20190820,34,2,2158351255,627
20190827,35,2,1781808832,1235
20190905,36,4,1781806909,1276
20190925,39,3,1685161748,305
20190905,36,4,1761715749,396
20191005,40,6,3533876209,14
20190821,34,3,1761713014,684
20190921,38,6,1781808719,1038
20191012,41,6,1781808832,912
20190918,38,3,1781808832,1392
20190930,40,1,3321779464,111
20190930,40,1,3531033244,504
20191015,42,2,1685161793,72
20190913,37,5,1685161287,224
20190902,36,1,1685161793,278
20191019,42,6,2713129639,4
20190823,34,5,1992602239,2902
20190828,35,3,1781807945,1338
20190912,37,4,1761715749,420
20191004,40,5,1781809788,914
20191017,42,4,1759863460,858
20190817,33,6,1781808143,1022
20190831,35,6,1761713545,372
20190918,38,3,1781808471,1447
20190923,39,1,1759863460,934
20191002,40,3,1781807441,786
20190817,33,6,1781808471,1081
20190926,39,4,1781810443,1211
20190916,38,1,1685161374,282
20190918,38,3,1781809788,1383
20191014,42,1,3507123484,541
20190906,36,5,1781807016,1432
20191009,41,3,1781809819,1215
20190916,38,1,3531033244,434
20191005,40,6,2931323584,331
20190921,38,6,1001000286087,76
20190822,34,4,1761713149,616
20190907,36,6,1781808471,946
20190908,36,7,1685161748,262
20190930,40,1,1781807216,1088
20190821,34,3,2680486890,399
20190830,35,5,1761714946,412
20190908,36,7,1761714946,291
20191004,40,5,1781807216,873
20190923,39,1,2680486890,499
20190930,40,1,2713129639,231902
