union_chann_cn,puin,vv,zan_cnt,shoucang_cnt,share_cnt,f_fans_cnt,youzhi_cnt
旅游,1001003144885,2062062,18081,49,112,144,0
旅游,1525007385,293849,10125,296,242,697,0
旅游,3432338501,207323,2809,16,62,898,0
旅游,1048085684,380270,5755,74,253,93,0
旅游,1743669696,6728711,71625,2202,1899,428,0
旅游,2470646010,214030,2447,24,116,17352,0
旅游,1810116875,7181044,253886,4629,4830,1464,1
旅游,2799503143,258904,2502,21,83,116,0
旅游,3142976312,4289454,83777,1860,849,2595,0
旅游,702233938,95420,1002,4,19,440,0
旅游,1486453795,1229664,9702,14,94,6135,0
旅游,1001000028910,865741,3084,3,122,333,0
旅游,1756727813,212209,1425,2,4,16,0
旅游,1721641053,82881,664,6,5,31,0
旅游,1001001817670,167115,3966,82,137,45,0
旅游,1744737576,892942,9898,35,54,103,0
旅游,2753553872,11880007,81862,211,704,8495,0
旅游,2981746389,66345,441,2,8,6816,0
旅游,3426532885,2660906,134043,2305,5351,5102,0
旅游,1524463810,74030,733,2,23,3352,3
旅游,1418594143,30717468,248983,1658,2216,12074,0
旅游,1991729283,71242,904,4,68,197,0
旅游,2157661252,131817,5209,251,182,2791,4
旅游,1364755434,14204523,173269,1260,1842,2552,5
旅游,1500971470,9074652,75201,421,713,1032,2
旅游,1512956894,3708536,28254,37,160,1804,0
旅游,3522260753,5213846,48232,207,1218,1004,0
旅游,1001002888691,155549,3207,22,70,853,0
旅游,3345463653,123328,1498,4,38,661,1
旅游,3435192581,993201,10699,59,150,157,0
旅游,1727547049,8950045,169520,4291,5401,1272,0
旅游,1829988753,89498,1432,24,74,8342,0
旅游,1635921962,1069559,10135,201,533,560,0
旅游,1941158417,203484,1388,6,20,24788,3
旅游,2515037584,64126,1156,61,295,1355,0
旅游,1001004275168,2983805,43399,215,541,306,0
旅游,320006389,5098929,64986,187,317,1207,2
旅游,3191752489,105303,783,0,9,7177,2
旅游,3280914044,69579,437,9,29,203,0
旅游,1819058668,2571999,38635,1229,4583,278,0
旅游,2497089436,192142,3822,92,293,816,0
旅游,1787680340,292942,6851,143,148,87,0
旅游,3595697263,649930,14882,100,139,0,0
旅游,1729481297,324594,7105,88,234,61,0
旅游,1787617871,67870,427,0,15,33,0
旅游,3261436283,73224,350,1,13,4463,0
旅游,3595108194,187685,3448,117,129,106,0
旅游,1227694922,276966,7407,55,95,236,0
旅游,1453116937,257914,2810,7,55,3664,2
旅游,193441897,817609,15621,585,1974,932,0
旅游,1534453315,167989,1699,2,10,2556,0
旅游,2757286616,147900,3385,38,50,539,0
旅游,3519210258,237205,6993,135,411,1726,0
旅游,1745721694,2263518,56473,508,811,243,0
旅游,1960274992,903376,7404,26,100,2787,4
旅游,2518753877,657811,7717,68,148,5947,1
旅游,1001003083525,13120121,172024,789,1478,1335,0
旅游,1001003491238,294813,2918,41,59,33,0
旅游,1009785962,5139542,57218,343,604,8131,34
旅游,1718539561,1605429,19429,451,1144,5556,0
旅游,1798738290,262063,2682,8,20,30,0
旅游,3544524398,405448,7207,133,409,105,0
旅游,1001002782712,1489081,22233,37,98,125,0
旅游,1760696488,15643260,168691,1806,1797,2052,0
旅游,256768996,493325,11182,118,99,186,0
旅游,1538707537,64305,1838,105,172,128,0
旅游,1562039439,875503,7645,57,273,477,0
旅游,1753771726,66667,1305,28,60,67,0
旅游,1784573878,528844,3162,11,21,140,0
旅游,1001003490823,127012,3081,91,90,86,0
旅游,1076692504,1644800,18782,68,150,15268,0
旅游,1378313357,9578661,175806,3783,4596,18798,0
旅游,3344851401,411683,2660,7,14,479,0
旅游,1541607055,1143142,12464,14,50,1076,0
旅游,1244544692,20796990,223874,2149,5736,2667,0
旅游,1770757993,1838306,16030,29,85,1235,0
旅游,1502987907,121004,818,3,27,2150,0
旅游,431381531,592344,4608,90,80,68,0
旅游,702395827,6558797,51368,311,503,6257,0
旅游,1001002645015,1471961,18354,246,608,4418,0
旅游,1410247960,68340,1965,36,50,146,2
旅游,1001003490571,161313,2049,42,71,746,0
旅游,3302887009,433812,1054,5,98,50,0
旅游,3325918360,755555,9182,197,773,5631,0
旅游,1001003769538,85110,612,1,17,16,0
旅游,1489521994,116390,1345,17,37,1412,0
旅游,2863003695,125130,1602,16,15,307,1
旅游,1001000938372,82150,430,12,23,41,0
旅游,1001003048913,2254976,40373,277,197,297,1
旅游,1160467904,826381,15858,297,535,4012,3
旅游,1552596578,3905330,44819,249,805,3019,0
旅游,2464063601,8042287,91504,1757,1058,7643,0
旅游,2518558418,322332,5824,25,38,3456,0
旅游,1001003703380,500845,11641,210,397,88,0
旅游,1001004272726,7071302,96198,1956,1489,1532,0
旅游,2491451582,549929,6285,71,69,6201,27
旅游,3228125737,568077,9962,39,85,80989,0
旅游,1001002864264,984106,9917,43,51,59,0
旅游,1001003047179,90519,778,8,40,14,0
旅游,3622909919,261598,2510,58,155,2577,0
旅游,1001004136730,10812283,68206,173,355,425,0
旅游,2497280084,318221,3586,9,32,2611,0
旅游,3516137623,289044,2067,2,31,37,0
旅游,292377124,1921464,32894,578,2184,235,0
旅游,1001004054365,155574,1915,26,81,22,0
旅游,1537196445,1291682,30276,191,162,347,1
旅游,1794722878,397170,10604,262,779,636,0
旅游,3143765766,4208135,89317,1548,2225,5319,0
旅游,3576259669,349633,3045,73,85,423,0
旅游,1001001283429,145851,2545,170,277,25,0
旅游,1001001965836,1864020,27165,275,794,5538,2
旅游,3125691936,419838,5226,16,41,18699,1
